Class,Precision,Recall,F1-Score,Support
Tomato___Target_Spot,0.9826086956521739,0.9890590809628009,0.9858233369683751,457
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9854721549636803,0.9926829268292683,0.9890643985419199,410
Corn_(maize)___Northern_Leaf_Blight,0.9936708860759493,0.9874213836477987,0.9905362776025236,477
Tomato___Spider_mites Two-spotted_spider_mite,0.9953596287703016,0.9862068965517241,0.9907621247113163,435
Tomato___Late_blight,0.9978165938864629,0.9870410367170627,0.992399565689468,463
Tomato___Early_blight,0.9876543209876543,1.0,0.9937888198757764,480
Tomato___Septoria_leaf_spot,0.9976905311778291,0.9908256880733946,0.994246260069045,436
Tomato___Bacterial_spot,0.9952941176470588,0.9952941176470588,0.9952941176470588,425
Apple___Cedar_apple_rust,0.9932126696832579,0.9977272727272727,0.9954648526077098,440
Raspberry___healthy,0.9977477477477478,0.9955056179775281,0.9966254218222722,445
Peach___Bacterial_spot,0.9978165938864629,0.9956427015250545,0.9967284623773173,459
Potato___Late_blight,0.9958847736625515,0.9979381443298969,0.9969104016477858,485
"Pepper,_bell___healthy",0.9979838709677419,0.9959758551307847,0.9969788519637462,497
Peach___healthy,0.9976851851851852,0.9976851851851852,0.9976851851851852,432
Blueberry___healthy,0.9977973568281938,0.9977973568281938,0.9977973568281938,454
Grape___Black_rot,0.9957805907172996,1.0,0.9978858350951374,472
Grape___Esca_(Black_Measles),1.0,0.9958333333333333,0.9979123173277662,480
Tomato___healthy,0.9958592132505176,1.0,0.9979253112033196,481
Potato___Early_blight,1.0,0.9958762886597938,0.9979338842975207,485
Cherry_(including_sour)___Powdery_mildew,0.9976303317535545,1.0,0.9988137603795968,421
Potato___healthy,1.0,0.9978070175438597,0.9989023051591658,456
Strawberry___healthy,0.9978118161925602,1.0,0.9989047097480832,456
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9979633401221996,1.0,0.9989806320081549,490
Apple___Black_rot,0.9979919678714859,1.0,0.9989949748743718,497
Orange___Haunglongbing_(Citrus_greening),1.0,0.9980119284294234,0.999004975124378,503
Apple___Apple_scab,0.998019801980198,1.0,0.9990089197224975,504
Strawberry___Leaf_scorch,1.0,1.0,1.0,444
Soybean___healthy,1.0,1.0,1.0,505
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,448
Grape___healthy,1.0,1.0,1.0,423
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,430
Tomato___Leaf_Mold,1.0,1.0,1.0,470
Corn_(maize)___healthy,1.0,1.0,1.0,465
Corn_(maize)___Common_rust_,1.0,1.0,1.0,477
Cherry_(including_sour)___healthy,1.0,1.0,1.0,456
Apple___healthy,1.0,1.0,1.0,502
Squash___Powdery_mildew,1.0,1.0,1.0,434
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,478
